fragment_ID,species,date,time,site,depth_m,temp_C,collector,old_tag,intake_reflectance?,status,status_date,tank,treatment,sample_time,notes
ftlb2-ssid18-03222026,ssid,2026-03-22,0.63541666666666663,BAR,9.4,24,HML,FTLB2-18,NA,H,2026-05-26T00:00:00Z,2,control,T3,NA
ftlb2-ssid01-03222026,ssid,2026-03-22,na,BAR,7.3,24,NIR,FTLB2-1,NA,H,2026-05-26T00:00:00Z,12,+2C,T4,NA
ftlb1-ssid15-03232026,ssid,2026-03-23,0.60972222222222228,BAR,9.9,25,HML,FTLB1-14,NA,Discolored,2026-05-26T00:00:00Z,8,+4C,T3,NA
ftlb1-ssid03-03232026,ssid,2026-03-23,0.61111111111111116,BAR,6.9,25,NIR,FTLB1-3,NA,H,2026-05-26T00:00:00Z,4,+4C,T4,two frags on plug from same colony
ftlb2-ssid15-03222026,ssid,2026-03-22,0.62777777777777777,BAR,8.4,24,HML,FTLB2-15,NA,Discolored,2026-05-26T00:00:00Z,9,+2C,T1,NA
ftlb2-ssid09-03222026,ssid,2026-03-22,na,BAR,9.6,24,NIR,FTLB2-9,NA,H,2026-05-26T00:00:00Z,4,+4C,T3,NA
ftlb1-ssid02-03232026,ssid,2026-03-23,0.60972222222222228,BAR,9.1,25,NIR,FTLB1-2,NA,H,2026-05-26T00:00:00Z,9,+2C,T1,NA
ftlb2-ssid16-03222026,ssid,2026-03-22,0.63055555555555554,BAR,9.3000000000000007,24,HML,FTLB2-16,NA,H,2026-05-26T00:00:00Z,5,control,T1,NA
ftlb2-ssid04-03222026,ssid,2026-03-22,na,BAR,7.6,24,NIR,FTLB2-4,NA,PD,2026-05-26T00:00:00Z,2,control,T1,NA
ftlb2-ssid14-03222026,ssid,2026-03-22,0.62569444444444444,BAR,8.4,24,HML,FTLB2-14,NA,H,2026-05-26T00:00:00Z,7,control,T2,NA
ftlb1-ssid04-03232026,ssid,2026-03-23,0.6118055555555556,BAR,8.9,25,NIR,FTLB1-4,NA,H,2026-05-26T00:00:00Z,1,+4C,T5,NA
ftlb2-ssid11-03222026,ssid,2026-03-22,0.62083333333333335,BAR,7.2,24,HML,FTLB2-11,NA,H,2026-05-26T00:00:00Z,10,control,T5,NA
ftlb1-ssid16-03232026,ssid,2026-03-23,0.60902777777777772,BAR,9.6999999999999993,25,HML,FTLB1-15,NA,H,2026-05-26T00:00:00Z,7,control,T4,NA
ftlb1-ssid06-03232026,ssid,2026-03-23,0.61527777777777781,BAR,9.1999999999999993,25,NIR,FTLB1-6,NA,H,2026-05-26T00:00:00Z,10,control,T2,NA
ftlb1-ssid13-03232026,ssid,2026-03-23,0.6118055555555556,BAR,9.9,25,HML,FTLB1-12,NA,NA,NA,11,+4C,T4,MISSING
ftlb2-ssid07-03222026,ssid,2026-03-22,na,BAR,8,24,NIR,FTLB2-7,NA,H,2026-05-26T00:00:00Z,5,control,T3,NA
ftlb1-ssid01-03232026,ssid,2026-03-23,0.60902777777777772,BAR,8.6999999999999993,25,NIR,FTLB1-1,NA,H,2026-05-26T00:00:00Z,6,+2C,T1,NA
